Text,Author,Positive,Negative,Neutral
jew_of_malta.txt,Marlowe,0.12,0.09,0.79
massacre_at_paris.txt,Marlowe,0.121,0.08,0.798
tamburlaine.txt,Marlowe,0.141,0.091,0.768
faustus.txt,Marlowe,0.119,0.089,0.792
dido_queen_of_carthage.txt,Marlowe,0.087,0.062,0.851
edward_II.txt,Marlowe,0.133,0.112,0.755
hero_and_leander.txt,Marlowe,0.19,0.1,0.71
henry_vi_3.txt,Shakespeare,0.122,0.084,0.794
love_labours_lost.txt,Shakespeare,0.179,0.093,0.729
henry_vi_2.txt,Shakespeare,0.114,0.089,0.797
henry_vi_1.txt,Shakespeare,0.138,0.132,0.731
richard_iii.txt,Shakespeare,0.157,0.147,0.695
taming_of_the_shrew.txt,Shakespeare,0.159,0.073,0.767
two_gentleman_of_verona.txt,Shakespeare,0.174,0.093,0.733
comedy_of_errors.txt,Shakespeare,0.086,0.085,0.829
edward_iii.txt,Shakespeare,0.152,0.126,0.721
titus_andronicus.txt,Shakespeare,0.14,0.137,0.723
